1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Ready?,name,Train Type,,Speed,,,Track Compatibility,,,,,,,Track Geometry,,,,,,,,Station Geometry,,,,,Train Consists,,,Car Specs,,,,Capacity,,Financials,,,,,,,UI Info,,Train Categories,,,,,,,,,
Ready,name,trainType,MainTrack,maxSpeed,maxAcceleration,maxDeceleration,Automation,Electrification,Voltage,TrackGauge,LoadingGauge,CompatibleTracks,ExtraTracks,maxLateralAcceleration,canCrossRoads,maxSlopePercentage,minTurnRadius,TrainGapFillerLength,StationGapFillerLength,parallelTrackSpacing,trackClearance,minStationTurnRadius,stopTimeSeconds,minStationLength,maxStationLength,maxSpeedLocalStation,minCars,maxCars,carsPerCarSet,capacityPerCar,carLength,trainWidth,carCost,MinCapacity,MaxCapacity,baseTrackCost,baseStationCost,scissorsCrossoverCost,Old,trainOperationalCostPerHour,carOperationalCostPerHour,Multipliers,desc,color,Manufacturer,Cities,Nation,Cont,Generic,Cities2,Nation2,Author,mainTrackID,trainType2
TRUE,S70 Streetcar,LRT,DC 750V (GoA1 | CAT | MS),20.0,1.34,1.34,"GoA1, GoA0",catenary,"Classical DC, Modern DC, High Voltage DC, International AC",Standard,Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_hv-0_cat_ms, std_iac-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms, std_hv-1_cat_ms, std_iac-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,400,36,40,40,6.7,3,3,3,67,9.17,2.65,2145833,201,201,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,The S700 Streetcar is an articulated low-floor streetcar built by Siemens that have been in service across North America since 2004. This specific model is based on the streetcar model ordered by OC Streetcar. Capacity is artificially higher due to game processing requirements.,#01235E,Siemens,"Generic, ATL, LA, SLC, CLT","Generic, US, US, US, US","Generic, North America, North America, North America, North America",TRUE,"Generic, Atlanta, Los Angeles, Salt Lake City, Charlotte","Generic, United States of America, United States of America, United States of America, United States of America",DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,US-100 (WSH),LRT,DC 750V (GoA0 | CAT | TFF),17.9,1.34,1.34,"GoA1, GoA0",catenary,Modern DC,Standard,2.45 m,"std_mdc-1_cat_tff, std_mdc-0_cat_tff",,1.20,TRUE,8.0,25,0.00,0.00,1.92,0.91,200,42,40,35,5.7,3,3,3,67,6.67,2.46,1450000,201,201,31875,45000000,8287500,FALSE,220,22.0,3.23|1.44|0.72|0.30|0.74,The United Streetcar 100 is a articulated low-floor streetcar built via licensing the Škoda 10T. It has been in service with the Washington Streetcar since 2016. Capacity is artificially higher due to game processing requirements.,#EF2E31,Škoda,"DC, POR","US, US","North America, North America",FALSE,"Washington D.C., Portland (OR)","United States of America, United States of America",DanielD1909,std_mdc-0_cat_tff,LRT
TRUE,TE-90,LRT,DC 750V (GoA1 | CAT | MS),22.2,1.00,1.00,"GoA1, GoA0",catenary,Modern DC,Standard,Metro Standard,"std_mdc-0_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,50,0.00,0.00,2.12,1.01,1100,36,40,45,6.7,2,2,2,150,14.78,2.65,4500000,300,300,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,"The TE-90 is an articulated high-floor light-rail vehicle built by Bombardier that has been in service in Mexico City since 1990. It is also knwon as the TE-96, 08, and 12",#0055B8,Bombardier,MXC,MX,Central America,FALSE,Mexico City,Mexico,DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Flexity Outlook (TOR),LRT,Toronto DC 600V (GoA1 | CAT | NAR),19.4,1.00,1.26,"GoA1, GoA0",catenary,Classical DC,Toronto,Narrow,tor_cdc-1_cat_nar,,1.20,TRUE,8.0,0,0.00,0.00,2.02,0.96,200,36,40,40,6.7,5,5,5,40,5.60,2.54,841538,200,200,46750,63750000,12750000,FALSE,200,20.0,3.36|1.49|0.75|0.30|0.75,The Flexity Outlook is an articulated low-floor light-rail vehicle built by Bombardier for the Toronto Streetcar that has been in service since 2014. Toronto got a custom model due to their unique gauge.,#FFFFFF,Bombardier,TOR,CA,North America,FALSE,Toronto,Canada,DanielD1909,tor_cdc-1_cat_nar,LRT
TRUE,Flexity Berlin S,LRT,DC 750V (GoA1 | CAT | UN),19.4,0.73,0.73,"GoA1, GoA0",catenary,"Classical DC, Modern DC",Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,200,36,40,65,6.7,5,5,5,40,6.16,2.40,548210,200,200,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Flexity Berlin is an articulated low-floor LRV produced by Bombardier/Alstom as a derivative of their Flexity family. It entered service in 2009. This is the shorter 5 segment version. Capacity is artificially higher due to game processing requirements.,#085696,Bombardier,BER,DE,Central Europe,FALSE,Berlin,Germany,DanielD1909,std_mdc-1_cat_un,LRT
TRUE,Avenio (CPH),LRT,DC 750V (GoA1 | CAT | MS),22.2,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC",Standard,Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,400,36,40,50,6.7,4,4,4,65,9.23,2.65,1022856,260,260,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,The Siemens Avenio is a low-floor LRV family that has been in service since 2009. This is the version used in Copenhagen.,#56C271,Siemens,CPH,DK,Northern Europe,FALSE,Copenhagen,Denmark,DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Variobahn 32m,LRT,DC 750V (GoA1 | CAT | MS),22.2,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC",Standard,Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,40,50,6.7,5,5,5,43,6.40,2.65,613243,215,215,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,"The Stadler Variobahn is a low-floow LRV that has been in service across the world since 1993. This is the 32m, standard gauge and width model. Acceleration is a guesstimate.",#C4003E,Stadler,"LDN, CPH","UK, DK","Europe, Northern Europe",FALSE,"London, Copenhagen","United Kingdom, Denmark",DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Variobahn Odense,LRT,DC 750V (GoA1 | CAT | MS),22.2,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC",Standard,Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,40,50,6.7,5,5,5,40,5.84,2.65,600000,200,200,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,"The Stadler Variobahn is a low-floow LRV that has been in service across the world since 1993. This is the 30m, standard gauge and width model, used by Odense. Acceleration is a guesstimate.",#EF3B24,Stadler,CPH,DK,Northern Europe,FALSE,Copenhagen,Denmark,DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Series 500 (BCN),Metro,DC 1.5kV (GoA4 | CAT | BM),22.2,0.90,1.08,"GoA4, GoA3, GoA2, GoA1",catenary,High Voltage DC,Standard,Barcelona Metro,"std_hv-4_cat_bm, std_hv-2_cat_bm, std_hv-1_cat_bm",,1.00,FALSE,5.5,75,0.00,0.00,2.22,1.06,1400,32,40,50,18.0,2,2,2,141,16.50,2.71,1356686,282,282,48875,82500000,15937500,TRUE,600,60.0,3.63|1.61|0.81|0.30|0.78,"The Series 500 is an automated derivative of the Series 2100 heavy metro EMU built by CAF, Meinfesa, and Alstom for the Barcelona metro. It entered service in 2003. Acceleration is a guesstimate.",#B4CD56,"CAF,Meinfesa,Alstom",BCN,ES,Southern Europe,FALSE,Barcelona,Spain,DanielD1909,std_hv-4_cat_bm,Automated Metro
TRUE,Twist Foxtrot,LRT,Soviet DC 750V (GoA1 | CAT | NAR),20.8,1.30,1.30,"GoA1, GoA0",catenary,"Classical DC, Modern DC","Standard, Soviet,3.5_foot",Narrow,"std_mdc-1_cat_nar, std_cdc-1_cat_nar, std_mdc-0_cat_nar, std_cdc-0_cat_nar, sov_mdc-1_cat_nar",,1.20,TRUE,8.0,25,0.00,0.00,2.02,0.96,400,36,40,40,6.7,3,3,3,67,8.75,2.50,750000,201,201,46750,63750000,12750000,FALSE,200,20.0,3.36|1.49|0.75|0.30|0.75,The Twist is a low-floor articulated LRV built by a Polish company named PESA that entered service in 2012. The 71-414 Foxtrot is a variant made for Kyiv and Moscow. Acceleration is a guesstimate. Capacity is increased artificially due to game processing requirements. Cost is an estimate.,#001C4A,PESA,IEV,UA,Eastern Europe,FALSE,Kyiv,Ukraine,DanielD1909,sov_mdc-1_cat_nar,LRT
TRUE,K-1T,LRT,Soviet DC 750V (GoA1 | CAT | NAR),20.8,1.30,1.30,"GoA1, GoA0",catenary,Classical DC,Soviet,Narrow,"sov_cdc-1_cat_nar, sov_cdc-0_cat_nar, sov_mdc-1_cat_nar",,1.20,TRUE,8.0,25,0.00,0.00,2.02,0.96,400,36,40,40,6.7,3,3,3,67,8.67,2.50,750000,201,201,46750,63750000,12750000,FALSE,200,20.0,3.36|1.49|0.75|0.30|0.75,The K-1T is a low-floor articulated LRV built by Tatra-Yug that entered service in 2020. Acceleration is a guesstimate. Capacity is increased artificially due to game processing requirements. Cost is an estimate.,#35BCED,Tatra-Yug,IEV,UA,Eastern Europe,FALSE,Kyiv,Ukraine,DanielD1909,sov_mdc-1_cat_nar,LRT
TRUE,Urbos 3 (WMM),LRT,DC 750V (GoA1 | CAT | MS),19.4,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC","Standard, Metre",Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,40,50,6.7,5,5,5,42,6.60,2.65,451467,210,210,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,The Urbos family are articulated low-floor light-rail vehicles built by CAF that have been in service across the world since the 90s. This specific model is based on the West Midland Metro's version. Acceleration is guesstimated.,#0000BB,CAF,BHM,UK,Europe,FALSE,Birmingham (UK),United Kingdom,DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Sirio (ATH),LRT,DC 750V (GoA1 | CAT | UN),19.4,1.34,1.34,"GoA1, GoA0",catenary,Modern DC,Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,200,36,40,50,6.7,5,5,5,54,6.46,2.40,550790,270,270,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Sirio is a artiuculated low-floor LRV family built by AnsaldoBreda/Hitachi that has been in service since 2002. This is the variant used by the Athens tram network. Acceleration is guesstimated.,#83B81A,AnsaldoBreda,ATH,GR,Southern Europe,FALSE,Athens,Greece,DanielD1909,std_mdc-1_cat_un,LRT
TRUE,TMK 2200,LRT,Metre DC 600V (GoA1 | CAT | BER),19.4,1.00,1.00,"GoA1, GoA0",catenary,Classical DC,Metre,Berlin 2.3m,"m_cdc-1_cat_ber, m_cdc-0_cat_ber",,1.20,TRUE,8.0,25,0.00,0.00,1.77,0.83,200,36,40,50,6.7,5,5,5,40,6.40,2.30,417607,200,200,46750,63750000,12750000,FALSE,200,20.0,3.03|1.35|0.67|0.30|0.72,The TMK 2300 is a low floor articulated LRV produced by Crotram for the Zagreb tram network. It entered service in 2005. Acceleration is a guesstimate.,#1264AB,Crotram,ZAG,HR,Southern Europe,FALSE,Zagreb,Croatia,DanielD1909,m_cdc-1_cat_ber,LRT
TRUE,Artic MLNRV-3,LRT,Metre DC 750V (GoA1 | CAT | UN),22.2,1.20,1.20,"GoA1, GoA0",catenary,Modern DC,Metre,"Ultra-Narrow, 2.45 m","m_mdc-1_cat_un, m_mdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,400,36,40,55,6.7,3,3,3,71,9.20,2.40,1062829,213,213,46750,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Arctic MLNRV-3 is an articulated LRV built by Škoda for Helsinki's tram network that entered service in 2013. Acceleration is a guesstimate.,#F9AF15,Škoda,HEL,FI,Northern Europe,FALSE,Helsinki,Finland,DanielD1909,m_mdc-1_cat_un,LRT
